job_title,state,avg_salary
NPL Locator,PA,0.0
Commercial Parts Pro,VA,0.0
VP of Human Resources,FL,0.0
Salesperson,OH,0.0
Wireless Retail Sales Associate (PT-20 hours a week),IL,0.0
Product Manager 5 -- Learning Product Owner,MN,0.0
Remote Acute-care Medical Transcriptionist (CMT/RMT),OR,0.0
Sr. Accountant,TX,32.5
In-Store Shopper (Seasonal/ Part-Time/ Flexible Hours),MA,0.0
Amazon Warehouse Associate - Part-Time (nights),MI,0.0
"Private Equity Accountant - Boston, MA",MA,85000.0
Warehouse Attendant,CA,0.0
Engineer II - Transmission Planning,FL,0.0
Certified Nursing Assistant - CNA,IN,0.0
"Infant Nanny, Live-in",NY,0.0
Registered Nurse / RN - Case Manager | Full Time,WI,0.0
Inbound Sales Opportunity - Work at Home,FL,21025.0
Warehouse Associate - Part Time,OH,0.0
Cub Foods Part-Time Clean Team - Burnsville South,MN,0.0
"Channel Manager, B2B Development",NY,0.0
Sales person-3,WI,0.0
Store Counter Sales,UT,0.0
CDL A Team Drivers - Established or Willing To Be Matched,WA,0.0
Warehousing Worker (Immediate Openings) - Earn $15/hr or More,OH,0.0
PT - Sales Associate - Hardware,TN,0.0
"Supervisor, Rehabilitation - Outpatient Rehab",TX,0.0
Food Service Specialist- Retail Sales,NC,0.0
Teach Science in England - Sep 2020 start date,MA,0.0
Real Estate Sales Representative -- Entry-Level,TX,0.0
Human Factors Engineer/UX Designer,MA,0.0
Protocol Admin Assistant - TS/SCI w/ polygraph,VA,0.0
Analyst - (10732),WI,0.0
"Screening Nurse, RN- Sante Fe, NM",NM,0.0
"Solo Practitioners, Partners, Boutique Firms wanted",OR,0.0
Certified Nursing Assistant / CNA,TX,0.0
Accountant,CT,70000.0
Warehouse Worker- Earn $17.40/hr or more,CA,0.0
Warehouse Worker - Immediate Openings,NJ,0.0
Day Shift Team Member - Burger King #00668,PA,0.0
Wireless Sales Pro,TX,0.0
Warehouse Attendant,CO,0.0
Business Support Consultant 3 - Deposit and Credit Bureau Management Office (DCBMO),AZ,0.0
"Physician - Critical Care Pulmonologist - LaGrange, Ga.",GA,0.0
Certified Nursing Assistant - CNA,CA,0.0
Warehouse Attendant - Earn up to $18.75 - Part-Time - Early Morning Shifts Available,MN,0.0
Animal Care Tecnician,NC,15.0
Customer Service/Sales,SC,0.0
Activity Assistant,IN,0.0
Sales Representative - Home Security Sales - Full Training,CA,0.0
Quarry Customer Success Manager,TX,0.0
Front Desk Concierge,MA,0.0
Warehouse Worker - Multiple Shifts Available,MD,0.0
Traveling Heavy New Store and Store Reset Merchandiser,TX,15.5
Project Architect,UT,0.0
Billing/ Accounting Clerk- Law Firm,MN,22.0
Cyber Security Engineer Sr. / Security Engineering Architect (Active Top Secret Clearance Required),DC,0.0
Bilingual Slovene/English Phone/Video Interpreter,OR,0.0
Seasonal Cashier,VA,0.0
Business Analysts (Clinical Data),CT,0.0
"Dialysis LVN/LPN - $8,000 Sign-On Bonus",TX,0.0
DIRECT SERVICE TECH-D57,IL,0.0
Class A Flatbed Driver Goodlettsville TN,TN,0.0
Senior System Engineer w Powershell/Dell Quest Tools - TS/SCI with Poly Required,MD,0.0
Assistant Store Manager,MN,0.0
Apps Systems Engineer 4 - IBM BPM Developer,NC,0.0
Amazon Warehouser-Earn $17.25/hr,CA,0.0
Mortgage Loan Purchase Specialist,KY,0.0
"QSR Lead Representative, Full or Part Time",AZ,0.0
Manufacturing Cost Accountant - Pharmaceuticals,SC,0.0
Flex Officer - SUSA,OR,0.0
Class A CDL - Regional Truck Driver,KY,0.0
HVAC Technician 2 - Climate Control,FL,0.0
Leasing Consultant- Pacific Point,FL,0.0
Warehouse Team Member - (Immediate Openings) - Earn $15.00 or more,NJ,0.0
Amazon Shopper - day and night shifts available,NJ,0.0
Laundry Aide,PA,0.0
Bus Liaison Cons 4/Complaints Validation Program Management,AZ,0.0
Clinical Pharmacist - Internal Medicine,MD,0.0
Rebar Fabricator,OH,16.5
Registered Nurse (RN) - Telemetry (Tele) - Per Diem,CO,0.0
Prep Cook - Cromwell Chili's,CT,0.0
ISD Software Solution Architect - Distributed,FL,0.0
Class A CDL Driver,NE,0.0
Assembler (T518),MO,11.25
Ophthalmic Technician,MD,0.0
RN - NURSING ADMIN,CA,0.0
Help Desk/ Desktop Support - Team Lead ( Long term contract),AR,0.0
Mechanical Assembler,TN,12.0
FIELD CASE MANAGER,CA,0.0
Business Initiatives Consultant 2,PA,0.0
2nd shift,MD,13.1
Prep Cook - Rock Hill Chili's,SC,0.0
Tax Manager,ID,85000.0
"Part-Time Work-Study Social Media Coordinator, Student Affairs",IN,0.0
Automotive Lube Technician,TN,0.0
Staff Accountant (40 hrs per week),WI,0.0
Data Researcher for Cannabis Industry / WORK FROM HOME,TX,0.0
Utility Worker-St. Luke's Hospital Pasadena,TX,0.0
Warehouse Inventory Specialist,OR,0.0
Customer Service (Technical Support),TN,12.375
Warehouse Worker (Immediate Openings) - Earn $16.75/hr or More,CA,0.0
Payroll Supervisor/Manager/Director,CA,0.0
Warehouse Worker Immediate Opening - Full-time/ Part-time,WA,0.0
Manual Machinist (Direct Hire! No Contract!),WA,22.0
Mortgage Processor 4 - Plano/Frisco,TX,0.0
RN-Emergency Care Center,TX,0.0
Wind Grout Technician,WY,0.0
Amazon Warehouse Worker,CO,0.0
Bilingual Chuukese/English Phone/Video Interpreter,IN,0.0
NURSING PROGRAM DIRECTOR,FL,0.0
"Technical Writer/Editor, Associate - 33112",MD,0.0
Assistant Store Manager,FL,0.0
Salesperson,TX,0.0
Part Time Sales,SC,0.0
Pick n pack,MS,0.0
Warehouse Laborer (Seasonal/ Part-Time/ Full-Time/ Flexible Hours),NJ,0.0
Assistant Store Manager,WI,0.0
Bilingual Apache/English Phone/Video Interpreter,TN,0.0
Amazon Warehouse Operator- Earn $15.00/hr or more,IL,0.0
Retail Merchandiser,MN,12.75
Warehouse/Shopper Team Member,NJ,0.0
Class A CDL - Over-the-Road (OTR) Truck Driver,MI,0.0
Server- Part Time,MI,0.0
Class A CDL - Regional Truck Driver,OH,0.0
Warehouse Handler,VA,0.0
Custodian,GA,0.0
Quality Control Inspector - 1st Shift,IL,0.0
Warehouse Laborer - Earn up to $15.25/hr or more,WA,0.0
Administrative Data Entry (Work at home) Customer Service,WI,26.0
Residential Treatment Coordinator (Bilingual : English/Spanish is Required),CT,56000.0
Package Handler- Warehouse,WI,0.0
Amazon Warehouse Assistant (Part-Time Day Shifts Available) - Earn $15/hr or More,VA,0.0
Logistics Coordinator,NC,25000.0
Bilingual Rohingya/English Phone/Video Interpreter,MI,0.0
Accounts Payable Processor,SC,0.0
RT Respiratory Therapist Full Time Days and Nights,CO,0.0
HR Manager,WI,92500.0
Center Supervisor,FL,0.0
Pharmacology or Toxicology Director,OR,0.0
Hospice RN - PRN,IL,0.0
Amazon Warehouse Assistant - Day and Night Shifts Available,WA,0.0
Microsoft Dynamics AX Junior Developer,OH,70000.0
iOS Developer,TX,0.0
Medical Assistant,MA,0.0
facilities technician,MI,0.0
Advanced Service Technician,MN,0.0
Reporting Coordinator,WA,0.0
"Shopper Team Member (Seasonal, Part-Time, Flexible Hours)",NJ,0.0
Systems Technician - TS/SCI with Poly,LA,0.0
DISHWASHER,TX,0.0
Clinic Operations Manager RN (Registered Nurse Leader),TX,0.0
